BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
157,79,58,86,55,26,30,56,35,22,35,10,62,431,6,14,7,5,35,43
96,60,66,126,43,44,26,67,25,48,38,24,45,87,50,67,38,21,71,60
163,44,40,87,28,48,29,66,34,30,38,34,38,143,45,52,8,30,53,45
122,49,44,152,33,40,22,58,28,51,57,34,45,114,113,40,41,30,27,48
174,78,25,192,42,121,20,74,43,49,26,28,88,90,24,62,43,23,123,85
153,76,42,174,59,102,64,87,46,79,31,29,30,109,26,38,43,28,26,60
115,103,64,171,42,85,41,71,55,52,30,59,76,146,33,102,47,63,37,76
119,74,55,217,93,118,54,116,24,51,38,48,30,95,24,48,39,50,61,37
114,86,46,243,63,85,69,63,47,49,50,25,52,98,42,125,11,5,45,58
127,81,51,271,35,91,57,128,59,49,45,35,65,108,40,56,53,55,103,39
135,59,38,119,54,131,61,107,56,95,56,90,41,123,40,184,36,31,43,81
116,74,46,130,37,91,73,90,58,19,31,70,15,114,24,97,14,36,65,36
132,63,41,111,145,152,96,92,62,53,51,74,76,76,12,66,13,44,49,42
129,83,53,101,85,108,67,106,83,119,86,32,22,156,42,88,33,39,57,45
113,53,42,126,52,165,114,94,92,53,39,50,27,115,30,40,8,51,59,22
114,74,152,86,105,107,54,60,49,54,104,18,22,45,32,33,15,59,69,74
98,50,30,116,79,82,51,110,153,69,80,46,20,70,10,167,22,47,37,62
140,66,37,94,40,68,92,123,119,32,9,75,21,50,57,128,7,39,32,67
120,81,72,139,82,149,58,108,69,38,114,59,2,85,11,100,21,48,41,30
173,46,46,85,78,109,71,113,138,7,69,55,37,71,39,72,44,27,45,51
135,99,70,100,65,118,42,56,124,86,58,54,14,129,32,54,39,35,31,37
143,62,50,54,54,99,73,57,108,53,50,56,22,70,97,52,34,43,12,40
139,98,40,56,68,51,56,61,38,46,83,21,14,50,46,48,12,23,76,31
155,30,52,32,48,26,42,49,92,53,39,26,20,93,19,40,5,14,18,12
98,56,20,26,44,27,53,24,36,36,46,11,36,47,63,19,26,56,22,26
87,40,42,13,70,32,22,27,21,13,43,10,8,50,21,67,0,26,24,20
110,18,0,12,24,3,35,7,24,21,19,11,36,18,28,11,5,18,13,9
70,15,25,10,51,16,21,5,20,8,46,18,9,3,14,4,0,18,9,6
43,12,23,1,26,11,15,4,6,9,17,2,4,15,14,5,1,37,8,1
37,12,4,8,8,9,6,33,15,3,91,2,13,11,9,4,1,58,7,0
30,4,5,1,12,1,4,7,19,4,10,1,1,4,9,3,0,44,8,0
21,4,0,6,6,2,5,4,6,5,5,0,3,4,6,2,1,5,13,0
22,1,0,1,7,6,0,6,12,1,4,2,0,3,3,9,0,29,3,2
15,0,4,2,5,5,2,2,1,4,1,3,2,3,8,1,0,38,5,0
11,1,0,0,13,0,0,3,12,1,1,1,1,4,1,0,4,4,3,2
7,3,0,5,6,3,0,3,2,2,3,2,0,15,0,3,3,27,4,1
12,1,2,1,1,1,0,5,0,0,1,13,0,6,0,6,0,0,1,3
5,3,1,10,4,9,1,4,4,3,0,2,2,12,3,7,4,11,8,10
17,2,6,7,2,4,7,13,8,0,4,15,11,15,1,2,2,2,2,10
11,4,9,7,1,11,10,22,4,6,6,16,1,27,3,9,3,0,2,4
27,3,3,19,4,19,9,12,5,12,9,10,0,34,1,19,2,8,2,12
23,8,10,4,8,7,17,6,24,11,18,2,0,23,3,16,3,2,3,6
30,9,12,11,9,20,16,30,12,16,16,11,0,30,8,3,2,1,4,18
48,15,22,5,22,17,2,22,24,2,23,4,37,45,7,16,12,4,2,13
37,12,4,14,7,18,16,32,35,43,35,24,26,15,10,26,5,1,6,16
32,21,9,13,32,7,17,27,41,10,31,15,68,48,10,2,12,0,2,11
49,9,25,4,25,39,17,35,22,26,24,55,30,41,10,19,2,0,8,32
67,13,17,6,35,31,12,42,19,10,39,22,26,35,12,83,8,1,3,35
106,28,43,17,15,11,12,86,17,8,18,48,47,70,15,41,4,0,3,32
83,32,39,8,25,30,40,43,32,31,94,15,21,13,15,36,1,2,14,24
114,24,3,20,20,28,20,32,39,30,65,78,13,65,69,16,4,3,10,42
129,33,19,15,53,98,68,68,41,24,35,70,13,125,40,12,3,11,2,63
189,42,50,7,36,21,36,137,72,18,55,160,0,143,19,13,2,3,4,36
79,56,52,15,25,38,101,33,20,33,144,28,22,75,12,20,2,10,4,67
163,8,20,9,93,48,21,43,30,40,97,34,28,107,103,21,6,1,0,54
110,34,52,23,66,22,46,47,32,35,51,47,58,102,77,15,8,3,4,70
158,35,26,16,65,26,63,41,43,47,65,27,35,103,42,11,2,3,32,35
182,23,82,38,61,89,56,49,25,20,42,27,33,142,54,15,1,4,13,45
136,25,87,16,79,40,92,35,58,41,91,15,76,125,102,23,0,5,11,29
207,50,102,32,63,67,64,69,46,26,86,26,20,124,57,3,6,19,35,42
251,51,118,40,164,25,104,53,49,28,89,39,50,161,87,16,0,30,43,24
141,58,86,35,93,105,60,150,19,25,85,47,38,173,60,0,2,9,75,39
193,62,96,26,173,89,68,87,95,24,104,26,23,155,66,31,1,35,29,64
169,78,110,41,95,21,116,160,60,15,67,60,32,168,26,47,15,28,42,27
141,48,88,41,192,77,83,102,45,17,72,28,51,35,31,7,10,58,41,42
193,66,108,75,144,86,64,73,50,12,76,31,23,120,40,27,13,27,36,44
359,30,96,44,171,29,41,106,41,5,107,14,44,193,65,67,4,27,41,51
268,57,238,52,109,46,79,40,41,42,43,82,28,159,38,45,2,16,83,37
168,139,117,31,72,70,79,97,35,11,92,23,34,176,58,7,19,13,57,45
338,56,167,39,75,103,43,49,65,42,44,31,61,117,47,74,2,48,39,54
186,68,62,14,158,90,104,98,87,18,51,72,30,100,53,41,25,32,118,49
266,38,160,106,101,30,67,68,53,35,42,60,54,138,59,23,10,21,71,32
240,72,83,23,109,58,119,74,51,28,109,30,44,115,68,36,12,38,105,32
162,78,135,47,132,47,60,85,105,24,68,65,49,105,34,48,6,24,101,16
264,60,94,23,127,61,64,40,49,50,48,55,40,135,20,15,8,73,133,11
133,60,57,43,118,39,52,43,52,7,67,58,27,182,42,13,13,15,99,12
201,51,31,5,64,21,72,28,67,20,48,34,53,72,18,56,11,33,141,9
236,63,43,6,89,3,23,16,37,12,23,23,35,72,21,4,1,46,126,0
111,70,48,12,36,5,61,23,20,1,42,18,62,55,14,32,2,38,102,0
76,21,16,4,31,15,16,12,8,4,30,18,32,41,17,13,0,17,97,0
52,54,6,4,35,14,18,17,24,0,23,8,29,29,6,9,0,39,120,2
30,19,6,4,27,3,2,12,11,0,7,10,25,32,11,9,1,21,43,0
30,5,3,4,26,2,5,8,3,1,6,2,25,11,9,3,1,34,50,0
74,16,4,8,8,1,3,4,0,2,3,4,7,1,2,2,0,21,33,3
45,1,4,2,5,1,3,5,0,0,3,2,7,19,4,1,0,16,40,0
41,5,0,4,4,0,1,1,1,0,0,2,0,6,3,6,1,5,33,0
20,1,2,5,5,0,0,0,21,2,1,0,2,4,1,1,2,11,5,1
15,5,1,1,10,0,4,6,0,1,3,3,1,13,4,1,3,10,12,1
11,3,1,5,8,6,0,0,1,2,6,7,0,8,0,1,2,1,4,0
10,7,13,11,2,2,3,2,1,8,1,6,1,5,0,2,1,0,4,0
9,3,4,3,8,6,0,9,0,10,1,12,2,12,2,0,8,0,0,6
35,6,10,6,8,6,18,13,10,3,4,14,1,20,1,26,2,0,2,8
20,1,31,7,11,7,5,17,10,2,2,2,2,36,5,4,11,11,0,4
19,4,3,8,15,0,30,19,11,20,6,1,0,30,1,14,4,2,3,7
51,3,30,21,12,9,12,33,7,26,3,24,5,27,6,9,7,1,4,21
53,9,2,18,10,10,3,22,7,12,15,12,4,30,7,35,20,0,8,20
77,16,25,20,25,1,38,35,10,32,13,6,1,30,2,22,8,2,12,10
62,15,24,25,10,24,12,41,8,10,16,11,5,46,7,2,19,2,8,13
93,24,14,24,7,10,16,55,43,18,35,23,2,126,5,10,26,5,15,18
78,17,49,34,41,2,25,54,31,13,33,12,4,96,8,23,12,3,8,15
82,24,49,33,52,4,14,78,66,10,25,52,10,102,22,12,20,23,20,11
84,52,54,46,44,2,45,29,58,10,36,9,14,55,13,15,27,0,39,13
58,53,24,76,31,7,19,67,41,7,24,9,6,48,20,3,32,5,25,12
114,21,20,35,86,15,15,136,120,22,32,63,22,88,17,65,48,22,43,13
145,39,35,93,81,31,15,68,115,5,16,26,0,62,8,45,31,2,91,21
93,63,41,125,77,11,92,51,113,6,69,50,13,81,13,13,54,20,63,11
129,38,15,155,248,15,22,56,74,17,29,27,21,96,23,7,50,15,45,13
114,50,28,75,36,27,36,44,107,8,27,19,18,99,18,7,40,44,104,1
86,55,23,114,218,20,29,73,39,41,54,39,14,129,9,3,13,19,68,5
127,49,31,117,58,15,27,45,113,22,54,46,10,104,41,16,54,0,55,5
106,58,17,87,55,26,24,79,51,30,67,53,13,113,59,29,29,20,38,22
211,62,32,86,113,26,38,50,89,38,112,58,27,128,25,30,90,28,70,11
229,79,46,64,122,18,18,68,69,25,83,48,30,124,39,20,71,31,60,18
145,53,45,140,59,31,21,68,62,82,59,24,26,137,39,55,38,21,69,18
210,65,24,163,66,15,29,85,70,57,98,55,28,190,18,7,119,22,88,10
267,109,29,66,46,48,23,35,180,63,68,75,32,148,25,113,60,13,98,21
166,90,19,58,124,8,10,124,39,57,92,28,39,143,1,32,102,24,42,4
168,68,34,84,74,41,11,34,114,30,58,32,26,272,34,32,131,18,132,22
350,89,48,111,73,90,23,129,54,38,52,50,40,214,36,96,73,32,153,14
224,121,28,23,8,14,17,42,34,47,53,31,46,191,23,29,55,21,90,1
136,41,45,53,134,41,33,90,108,90,47,36,44,243,23,47,99,11,75,11
278,60,87,61,88,4,34,69,79,60,43,55,26,151,33,61,88,28,116,19
161,137,71,87,33,109,30,48,47,95,34,42,0,216,37,71,59,30,74,14
385,118,101,76,81,89,24,51,48,120,28,65,13,145,33,38,31,9,73,7
230,141,71,62,26,53,40,53,96,97,37,19,84,221,23,51,50,54,74,12
284,38,86,80,26,23,31,42,57,82,87,59,23,205,27,27,27,27,85,7
210,116,64,18,150,43,20,57,39,57,78,33,2,168,18,75,15,12,102,2
125,75,46,16,128,43,31,48,59,37,120,38,16,253,36,20,46,5,100,10
104,73,46,29,105,32,8,52,65,39,84,21,8,97,55,96,12,92,104,5
140,34,51,27,161,11,32,17,9,21,103,22,8,70,35,44,8,37,85,1
99,25,42,90,127,16,17,11,25,43,44,13,8,56,48,74,32,21,72,13
35,21,16,2,34,11,11,12,61,24,71,6,8,37,26,14,13,22,60,1
14,8,10,3,75,9,6,7,15,12,19,6,1,26,37,24,2,22,50,3
34,17,8,2,28,1,1,5,4,21,16,1,6,7,31,9,0,20,39,3
7,9,5,0,19,1,3,0,5,8,10,9,4,8,12,0,0,12,37,1
7,4,3,3,8,1,5,6,10,6,7,1,0,4,19,0,5,13,16,0
4,1,0,1,4,1,0,1,1,6,8,0,1,1,2,6,7,10,33,3
4,1,1,2,14,1,2,3,0,2,5,3,1,8,12,2,1,6,9,2
10,1,1,2,2,0,0,0,0,4,8,0,2,6,6,2,1,32,13,5
6,4,0,1,3,6,3,4,8,5,3,2,0,3,1,0,0,49,5,1
6,1,2,2,6,3,0,5,2,8,2,2,1,12,4,0,0,13,3,9
12,4,1,11,11,5,1,6,2,9,2,4,2,18,4,4,2,1,5,5
20,11,1,12,7,25,11,9,1,6,6,3,0,46,3,11,1,4,6,0
14,5,3,19,5,17,1,6,12,19,16,7,0,36,5,0,1,0,1,5
33,13,4,13,17,17,12,6,2,7,6,5,2,36,7,15,5,2,3,25
20,10,9,20,13,17,3,14,20,42,42,6,0,56,14,20,1,2,2,4
25,14,11,37,19,16,25,8,33,7,53,21,0,58,29,30,4,1,2,30
93,9,11,41,18,22,8,10,19,15,45,24,3,108,24,8,2,0,1,2
72,20,11,37,44,32,14,16,32,37,43,6,6,75,63,7,0,4,5,22
54,22,22,37,13,27,48,28,32,47,65,50,5,118,20,12,0,1,1,5
175,21,42,33,56,19,13,40,39,33,65,11,6,85,67,46,4,3,2,4
126,50,28,30,55,14,32,33,26,29,79,35,25,115,33,14,0,0,0,49
60,34,63,60,84,49,7,28,37,58,55,27,9,114,26,18,1,0,2,17
193,27,86,3,20,13,38,6,19,37,98,16,13,74,38,19,4,0,8,13
68,36,41,138,13,0,37,18,3,87,97,22,18,93,15,3,0,0,10,10
183,15,32,86,122,57,1,31,29,66,94,26,4,155,12,26,0,31,12,24
156,41,140,57,2,79,37,21,112,43,105,30,21,240,20,3,2,23,15,10
479,68,86,94,77,31,47,21,54,41,68,23,53,86,11,9,0,3,20,8
