,Data-set,Algorithm,Support,Run-time,Memory,Patterns
554,Buoys,ACO-GRAANK,0.9,0.191,187.1,2.0
31,Buoys,ACO-LCM,0.9,3.4207,437.3,8.0
43,Buoys,ACO-LCM,0.9,3.3338,438.1,6.0
73,Buoys,ACO-LCM,0.9,3.5629,437.2,8.0
103,Buoys,ACO-LCM,0.9,3.2591,438.6,7.0
159,Buoys,ACO-LCM,0.9,3.1246,436.1,5.0
186,Buoys,ACO-LCM,0.9,3.2539,436.5,6.0
261,Buoys,ACO-LCM,0.9,3.8648,438.1,11.0
263,Buoys,ACO-LCM,0.9,3.9063,437.8,10.0
575,Buoys,ACO-LCM,0.9,2.6539,425.1,2.0
35,Buoys,GRAANK,0.9,1.5038,65.9,4.0
50,Buoys,GRAANK,0.9,1.5112,65.9,4.0
67,Buoys,GRAANK,0.9,1.504,65.9,4.0
144,Buoys,GRAANK,0.9,1.5085,65.9,4.0
248,Buoys,GRAANK,0.9,1.4943,65.9,4.0
404,Buoys,GRAANK,0.9,1.5082,65.9,4.0
472,Buoys,GRAANK,0.9,1.4955,65.9,4.0
528,Buoys,GRAANK,0.9,1.5074,65.9,4.0
672,Buoys,GRAANK,0.9,1.5084,65.9,4.0
36,Buoys,LCM-GRAD,0.9,116.4,47836.0,30.0
66,Buoys,LCM-GRAD,0.9,118.58,47836.0,30.0
161,Buoys,LCM-GRAD,0.9,112.4,47836.0,30.0
189,Buoys,LCM-GRAD,0.9,113.01,47836.0,30.0
315,Buoys,LCM-GRAD,0.9,113.76,47836.0,30.0
374,Buoys,LCM-GRAD,0.9,114.9,47836.0,30.0
466,Buoys,LCM-GRAD,0.9,113.27,47836.0,30.0
481,Buoys,LCM-GRAD,0.9,115.15,47836.0,30.0
537,Buoys,LCM-GRAD,0.9,114.73,47821.0,30.0
38,C2K,ACO-GRAANK,0.5,2.3162,252.3,25.0
39,C2K,ACO-GRAANK,0.5,0.3579,209.9,12.0
272,C2K,ACO-GRAANK,0.5,0.175,168.7,3.0
330,C2K,ACO-GRAANK,0.5,2.5857,223.4,27.0
364,C2K,ACO-GRAANK,0.5,0.4568,222.1,12.0
410,C2K,ACO-GRAANK,0.5,0.3898,216.5,9.0
499,C2K,ACO-GRAANK,0.5,0.1813,174.9,5.0
540,C2K,ACO-GRAANK,0.5,0.485,222.9,13.0
578,C2K,ACO-GRAANK,0.5,0.6321,228.0,13.0
135,C2K,ACO-LCM,0.5,11.405,803.5,194.0
251,C2K,ACO-LCM,0.5,11.362,800.6,197.0
442,C2K,ACO-LCM,0.5,11.548,776.7,194.0
483,C2K,ACO-LCM,0.5,8.9705,754.1,107.0
502,C2K,ACO-LCM,0.5,11.282,781.8,196.0
524,C2K,ACO-LCM,0.5,11.261,767.8,192.0
535,C2K,ACO-LCM,0.5,11.433,770.4,194.0
549,C2K,ACO-LCM,0.5,11.825,799.9,197.0
655,C2K,ACO-LCM,0.5,11.052,781.9,192.0
25,C2K,GRAANK,0.5,58.13,217.9,802.0
210,C2K,GRAANK,0.5,57.965,218.0,802.0
281,C2K,GRAANK,0.5,57.475,218.0,802.0
366,C2K,GRAANK,0.5,58.248,218.0,802.0
438,C2K,GRAANK,0.5,57.956,218.0,802.0
453,C2K,GRAANK,0.5,58.479,218.0,802.0
457,C2K,GRAANK,0.5,58.224,217.9,802.0
469,C2K,GRAANK,0.5,57.625,218.0,802.0
656,C2K,GRAANK,0.5,58.553,218.0,802.0
149,C2K,ACO-GRAANK,0.6,0.7861,230.6,14.0
228,C2K,ACO-GRAANK,0.6,0.4274,224.3,6.0
286,C2K,ACO-GRAANK,0.6,0.5431,234.9,6.0
313,C2K,ACO-GRAANK,0.6,0.3293,209.3,5.0
403,C2K,ACO-GRAANK,0.6,1.1912,226.2,7.0
577,C2K,ACO-GRAANK,0.6,0.1198,143.6,2.0
614,C2K,ACO-GRAANK,0.6,3.627,249.2,15.0
619,C2K,ACO-GRAANK,0.6,0.2503,214.4,2.0
625,C2K,ACO-GRAANK,0.6,0.6439,221.5,7.0
134,C2K,ACO-LCM,0.6,12.894,871.0,198.0
158,C2K,ACO-LCM,0.6,12.889,851.4,197.0
203,C2K,ACO-LCM,0.6,12.835,842.7,196.0
224,C2K,ACO-LCM,0.6,13.178,859.7,199.0
386,C2K,ACO-LCM,0.6,12.931,849.2,196.0
496,C2K,ACO-LCM,0.6,12.925,880.5,198.0
581,C2K,ACO-LCM,0.6,13.281,872.9,197.0
594,C2K,ACO-LCM,0.6,12.648,850.1,196.0
661,C2K,ACO-LCM,0.6,12.918,872.8,197.0
34,C2K,GRAANK,0.6,9.5318,134.4,94.0
81,C2K,GRAANK,0.6,9.6334,134.4,94.0
198,C2K,GRAANK,0.6,9.6284,134.4,94.0
278,C2K,GRAANK,0.6,9.507,134.4,94.0
376,C2K,GRAANK,0.6,9.5141,134.4,94.0
562,C2K,GRAANK,0.6,9.4962,134.4,94.0
664,C2K,GRAANK,0.6,9.6151,134.4,94.0
669,C2K,GRAANK,0.6,9.5757,134.4,94.0
670,C2K,GRAANK,0.6,9.5382,134.4,94.0
27,C2K,ACO-GRAANK,0.7,3.7798,248.0,1.0
44,C2K,ACO-GRAANK,0.7,10.228,248.9,3.0
92,C2K,ACO-GRAANK,0.7,0.1032,139.8,1.0
97,C2K,ACO-GRAANK,0.7,0.2051,188.8,1.0
145,C2K,ACO-GRAANK,0.7,0.7882,241.2,1.0
162,C2K,ACO-GRAANK,0.7,0.4584,229.5,2.0
222,C2K,ACO-GRAANK,0.7,1.0487,242.8,3.0
356,C2K,ACO-GRAANK,0.7,6.401,248.3,1.0
523,C2K,ACO-GRAANK,0.7,0.126,154.0,1.0
75,C2K,ACO-LCM,0.7,13.844,846.9,197.0
146,C2K,ACO-LCM,0.7,13.809,856.3,199.0
156,C2K,ACO-LCM,0.7,14.019,852.7,199.0
340,C2K,ACO-LCM,0.7,13.94,835.9,198.0
383,C2K,ACO-LCM,0.7,13.836,849.9,198.0
521,C2K,ACO-LCM,0.7,13.721,846.2,195.0
544,C2K,ACO-LCM,0.7,14.131,837.9,197.0
569,C2K,ACO-LCM,0.7,14.186,835.9,197.0
612,C2K,ACO-LCM,0.7,14.307,842.1,197.0
90,C2K,GRAANK,0.7,7.2095,81.8,26.0
100,C2K,GRAANK,0.7,7.3012,81.8,26.0
183,C2K,GRAANK,0.7,7.3047,81.8,26.0
223,C2K,GRAANK,0.7,7.2792,81.8,26.0
424,C2K,GRAANK,0.7,7.235,81.8,26.0
520,C2K,GRAANK,0.7,7.2852,81.8,26.0
564,C2K,GRAANK,0.7,7.2038,81.8,26.0
645,C2K,GRAANK,0.7,7.2055,81.8,26.0
652,C2K,GRAANK,0.7,7.2059,81.8,26.0
54,C2K,ACO-GRAANK,0.8,0.5702,221.7,1.0
106,C2K,ACO-GRAANK,0.8,1.1236,225.5,1.0
118,C2K,ACO-GRAANK,0.8,0.2784,213.5,1.0
194,C2K,ACO-GRAANK,0.8,0.4356,233.7,3.0
253,C2K,ACO-GRAANK,0.8,0.5834,230.1,1.0
254,C2K,ACO-GRAANK,0.8,8.2036,244.9,2.0
284,C2K,ACO-GRAANK,0.8,0.2113,204.0,2.0
401,C2K,ACO-GRAANK,0.8,15.508,248.3,2.0
622,C2K,ACO-GRAANK,0.8,0.8392,230.2,2.0
14,C2K,ACO-LCM,0.8,16.619,703.6,195.0
42,C2K,ACO-LCM,0.8,16.601,709.0,197.0
277,C2K,ACO-LCM,0.8,16.709,717.8,197.0
288,C2K,ACO-LCM,0.8,16.83,736.1,198.0
417,C2K,ACO-LCM,0.8,17.552,686.4,197.0
427,C2K,ACO-LCM,0.8,17.104,699.2,195.0
450,C2K,ACO-LCM,0.8,17.212,698.5,197.0
583,C2K,ACO-LCM,0.8,16.372,699.9,196.0
618,C2K,ACO-LCM,0.8,16.607,705.4,197.0
17,C2K,GRAANK,0.8,7.2375,68.7,12.0
60,C2K,GRAANK,0.8,7.1866,68.7,12.0
115,C2K,GRAANK,0.8,7.1574,68.7,12.0
205,C2K,GRAANK,0.8,7.2582,68.7,12.0
207,C2K,GRAANK,0.8,7.1684,68.7,12.0
359,C2K,GRAANK,0.8,7.2152,68.7,12.0
555,C2K,GRAANK,0.8,7.1667,68.7,12.0
571,C2K,GRAANK,0.8,7.195,68.7,12.0
642,C2K,GRAANK,0.8,7.0733,68.7,12.0
1,C2K,ACO-GRAANK,0.9,8.0027,247.4,0.0
5,C2K,ACO-GRAANK,0.9,14.573,247.3,0.0
121,C2K,ACO-GRAANK,0.9,45.095,251.1,0.0
280,C2K,ACO-GRAANK,0.9,17.427,251.1,0.0
326,C2K,ACO-GRAANK,0.9,9.2911,245.0,0.0
362,C2K,ACO-GRAANK,0.9,5.0467,311.4,0.0
384,C2K,ACO-GRAANK,0.9,27.126,249.7,0.0
445,C2K,ACO-GRAANK,0.9,9.7352,247.1,0.0
613,C2K,ACO-GRAANK,0.9,8.9929,249.5,0.0
3,C2K,ACO-LCM,0.9,21.03,490.0,199.0
32,C2K,ACO-LCM,0.9,19.728,486.3,198.0
68,C2K,ACO-LCM,0.9,19.439,489.6,198.0
241,C2K,ACO-LCM,0.9,19.965,481.8,198.0
331,C2K,ACO-LCM,0.9,19.975,484.8,195.0
339,C2K,ACO-LCM,0.9,19.928,494.1,198.0
405,C2K,ACO-LCM,0.9,19.941,496.8,199.0
437,C2K,ACO-LCM,0.9,19.398,491.1,198.0
478,C2K,ACO-LCM,0.9,19.477,482.1,196.0
0,C2K,GRAANK,0.9,2.4176,44.3,0.0
6,C2K,GRAANK,0.9,2.4073,44.3,0.0
265,C2K,GRAANK,0.9,2.4071,44.3,0.0
317,C2K,GRAANK,0.9,2.3972,44.3,0.0
402,C2K,GRAANK,0.9,2.3994,44.3,0.0
439,C2K,GRAANK,0.9,2.4127,44.3,0.0
467,C2K,GRAANK,0.9,2.4006,44.3,0.0
588,C2K,GRAANK,0.9,2.4126,44.3,0.0
641,C2K,GRAANK,0.9,2.4108,44.3,0.0
7,UCI,ACO-GRAANK,0.5,0.0765,106.0,1.0
51,UCI,ACO-GRAANK,0.5,0.0846,111.1,2.0
232,UCI,ACO-GRAANK,0.5,0.1354,122.9,3.0
372,UCI,ACO-GRAANK,0.5,0.0807,108.5,1.0
378,UCI,ACO-GRAANK,0.5,0.1359,113.5,2.0
381,UCI,ACO-GRAANK,0.5,0.1514,121.9,3.0
563,UCI,ACO-GRAANK,0.5,0.1049,133.8,1.0
610,UCI,ACO-GRAANK,0.5,0.135,130.3,2.0
636,UCI,ACO-GRAANK,0.5,0.1034,126.5,2.0
52,UCI,ACO-LCM,0.5,21.161,1233.0,1.0
127,UCI,ACO-LCM,0.5,21.163,1233.0,1.0
260,UCI,ACO-LCM,0.5,20.601,1233.0,1.0
336,UCI,ACO-LCM,0.5,20.978,1233.0,1.0
463,UCI,ACO-LCM,0.5,22.146,1235.0,2.0
526,UCI,ACO-LCM,0.5,21.294,1233.0,1.0
541,UCI,ACO-LCM,0.5,21.588,1233.0,1.0
557,UCI,ACO-LCM,0.5,22.012,1235.0,2.0
666,UCI,ACO-LCM,0.5,20.97,1233.0,1.0
12,UCI,GRAANK,0.5,0.3837,73.6,7.0
83,UCI,GRAANK,0.5,0.3835,73.6,7.0
95,UCI,GRAANK,0.5,0.3805,73.5,7.0
110,UCI,GRAANK,0.5,0.3788,73.5,7.0
338,UCI,GRAANK,0.5,0.3808,73.5,7.0
382,UCI,GRAANK,0.5,0.3949,73.6,7.0
394,UCI,GRAANK,0.5,0.384,73.6,7.0
436,UCI,GRAANK,0.5,0.3798,73.5,7.0
626,UCI,GRAANK,0.5,0.3793,73.5,7.0
15,UCI,LCM-GRAD,0.5,263.66,29988.0,9.0
62,UCI,LCM-GRAD,0.5,258.3,29988.0,9.0
78,UCI,LCM-GRAD,0.5,263.17,29988.0,9.0
117,UCI,LCM-GRAD,0.5,265.58,29988.0,9.0
305,UCI,LCM-GRAD,0.5,261.55,29988.0,9.0
368,UCI,LCM-GRAD,0.5,265.8,29988.0,9.0
456,UCI,LCM-GRAD,0.5,263.64,29988.0,9.0
530,UCI,LCM-GRAD,0.5,267.5,29988.0,9.0
556,UCI,LCM-GRAD,0.5,263.12,29988.0,9.0
69,UCI,ACO-GRAANK,0.6,0.0772,113.9,0.0
116,UCI,ACO-GRAANK,0.6,0.0939,142.9,0.0
167,UCI,ACO-GRAANK,0.6,0.0693,104.9,2.0
172,UCI,ACO-GRAANK,0.6,0.0827,119.6,1.0
184,UCI,ACO-GRAANK,0.6,0.0667,104.8,1.0
300,UCI,ACO-GRAANK,0.6,0.118,139.0,2.0
319,UCI,ACO-GRAANK,0.6,0.1252,126.1,2.0
406,UCI,ACO-GRAANK,0.6,0.0748,112.1,1.0
587,UCI,ACO-GRAANK,0.6,0.1181,132.2,2.0
11,UCI,ACO-LCM,0.6,22.497,1235.0,2.0
49,UCI,ACO-LCM,0.6,21.336,1233.0,1.0
160,UCI,ACO-LCM,0.6,20.767,1233.0,1.0
233,UCI,ACO-LCM,0.6,22.637,1235.0,2.0
434,UCI,ACO-LCM,0.6,22.714,1235.0,2.0
536,UCI,ACO-LCM,0.6,22.337,1237.0,3.0
546,UCI,ACO-LCM,0.6,22.212,1235.0,2.0
548,UCI,ACO-LCM,0.6,20.98,1233.0,1.0
602,UCI,ACO-LCM,0.6,22.086,1235.0,2.0
41,UCI,GRAANK,0.6,0.193,67.3,3.0
84,UCI,GRAANK,0.6,0.185,67.3,3.0
175,UCI,GRAANK,0.6,0.1933,67.3,3.0
176,UCI,GRAANK,0.6,0.1868,67.3,3.0
204,UCI,GRAANK,0.6,0.215,67.3,3.0
234,UCI,GRAANK,0.6,0.1895,67.3,3.0
283,UCI,GRAANK,0.6,0.1949,67.3,3.0
345,UCI,GRAANK,0.6,0.1859,67.3,3.0
558,UCI,GRAANK,0.6,0.1863,67.3,3.0
154,UCI,LCM-GRAD,0.6,276.25,29988.0,9.0
173,UCI,LCM-GRAD,0.6,264.52,29988.0,9.0
285,UCI,LCM-GRAD,0.6,266.01,29988.0,9.0
307,UCI,LCM-GRAD,0.6,266.49,29988.0,9.0
418,UCI,LCM-GRAD,0.6,279.25,29988.0,9.0
512,UCI,LCM-GRAD,0.6,263.42,29988.0,9.0
514,UCI,LCM-GRAD,0.6,268.75,29988.0,9.0
525,UCI,LCM-GRAD,0.6,272.57,29988.0,9.0
601,UCI,LCM-GRAD,0.6,271.31,29988.0,9.0
220,UCI,ACO-GRAANK,0.7,0.0699,104.4,2.0
318,UCI,ACO-GRAANK,0.7,0.0593,93.2,1.0
332,UCI,ACO-GRAANK,0.7,0.0808,120.7,1.0
452,UCI,ACO-GRAANK,0.7,0.1056,118.8,2.0
462,UCI,ACO-GRAANK,0.7,0.1456,151.6,2.0
486,UCI,ACO-GRAANK,0.7,0.1528,150.0,1.0
560,UCI,ACO-GRAANK,0.7,0.0757,134.9,2.0
611,UCI,ACO-GRAANK,0.7,0.0583,93.3,1.0
639,UCI,ACO-GRAANK,0.7,0.1014,133.9,3.0
98,UCI,ACO-LCM,0.7,21.791,1235.0,2.0
181,UCI,ACO-LCM,0.7,21.51,1233.0,1.0
191,UCI,ACO-LCM,0.7,22.615,1235.0,2.0
206,UCI,ACO-LCM,0.7,19.948,1233.0,1.0
208,UCI,ACO-LCM,0.7,20.381,1233.0,1.0
343,UCI,ACO-LCM,0.7,20.667,1233.0,1.0
443,UCI,ACO-LCM,0.7,21.005,1233.0,1.0
582,UCI,ACO-LCM,0.7,21.182,1233.0,1.0
605,UCI,ACO-LCM,0.7,21.793,1233.0,1.0
28,UCI,GRAANK,0.7,0.1879,67.3,3.0
72,UCI,GRAANK,0.7,0.1853,67.3,3.0
152,UCI,GRAANK,0.7,0.2151,67.3,3.0
187,UCI,GRAANK,0.7,0.1921,67.3,3.0
325,UCI,GRAANK,0.7,0.1878,67.3,3.0
373,UCI,GRAANK,0.7,0.1873,67.3,3.0
487,UCI,GRAANK,0.7,0.1941,67.3,3.0
561,UCI,GRAANK,0.7,0.1856,67.3,3.0
667,UCI,GRAANK,0.7,0.1948,67.3,3.0
26,UCI,LCM-GRAD,0.7,267.69,29987.0,9.0
59,UCI,LCM-GRAD,0.7,265.63,29987.0,9.0
236,UCI,LCM-GRAD,0.7,275.18,29987.0,9.0
459,UCI,LCM-GRAD,0.7,266.29,29987.0,9.0
471,UCI,LCM-GRAD,0.7,270.01,29987.0,9.0
482,UCI,LCM-GRAD,0.7,265.51,29987.0,9.0
494,UCI,LCM-GRAD,0.7,263.49,29987.0,9.0
501,UCI,LCM-GRAD,0.7,263.51,29987.0,9.0
660,UCI,LCM-GRAD,0.7,267.16,29987.0,9.0
2,UCI,ACO-GRAANK,0.8,0.1444,130.7,1.0
40,UCI,ACO-GRAANK,0.8,0.0668,106.5,1.0
113,UCI,ACO-GRAANK,0.8,0.0894,128.9,1.0
177,UCI,ACO-GRAANK,0.8,0.1571,156.2,0.0
309,UCI,ACO-GRAANK,0.8,0.0689,107.1,1.0
392,UCI,ACO-GRAANK,0.8,0.1579,161.9,1.0
507,UCI,ACO-GRAANK,0.8,0.1343,130.3,1.0
511,UCI,ACO-GRAANK,0.8,0.1005,115.2,1.0
593,UCI,ACO-GRAANK,0.8,0.1575,145.0,1.0
142,UCI,ACO-LCM,0.8,21.181,1232.0,1.0
188,UCI,ACO-LCM,0.8,22.292,1234.0,2.0
329,UCI,ACO-LCM,0.8,19.091,1232.0,1.0
352,UCI,ACO-LCM,0.8,20.478,1232.0,1.0
391,UCI,ACO-LCM,0.8,21.301,1234.0,2.0
454,UCI,ACO-LCM,0.8,21.776,1234.0,2.0
659,UCI,ACO-LCM,0.8,20.701,1232.0,1.0
671,UCI,ACO-LCM,0.8,20.486,1232.0,1.0
674,UCI,ACO-LCM,0.8,22.687,1234.0,2.0
63,UCI,GRAANK,0.8,0.1749,59.9,2.0
82,UCI,GRAANK,0.8,0.1717,60.0,2.0
174,UCI,GRAANK,0.8,0.1709,60.0,2.0
480,UCI,GRAANK,0.8,0.1741,60.0,2.0
489,UCI,GRAANK,0.8,0.176,60.0,2.0
529,UCI,GRAANK,0.8,0.1685,60.0,2.0
600,UCI,GRAANK,0.8,0.1928,60.0,2.0
620,UCI,GRAANK,0.8,0.178,60.0,2.0
623,UCI,GRAANK,0.8,0.1685,60.0,2.0
86,UCI,LCM-GRAD,0.8,216.17,26590.0,8.0
104,UCI,LCM-GRAD,0.8,220.72,26590.0,8.0
192,UCI,LCM-GRAD,0.8,214.55,26590.0,8.0
199,UCI,LCM-GRAD,0.8,213.24,26590.0,8.0
238,UCI,LCM-GRAD,0.8,221.24,26590.0,8.0
415,UCI,LCM-GRAD,0.8,209.41,26590.0,8.0
491,UCI,LCM-GRAD,0.8,211.4,26590.0,8.0
604,UCI,LCM-GRAD,0.8,214.93,26590.0,8.0
654,UCI,LCM-GRAD,0.8,217.91,26590.0,8.0
10,UCI,ACO-GRAANK,0.9,0.1662,183.2,1.0
212,UCI,ACO-GRAANK,0.9,0.1497,165.7,0.0
227,UCI,ACO-GRAANK,0.9,0.11,114.9,0.0
269,UCI,ACO-GRAANK,0.9,0.124,132.9,1.0
316,UCI,ACO-GRAANK,0.9,0.2111,185.9,1.0
342,UCI,ACO-GRAANK,0.9,0.1605,139.7,0.0
421,UCI,ACO-GRAANK,0.9,0.1391,131.1,1.0
643,UCI,ACO-GRAANK,0.9,0.1534,152.4,1.0
648,UCI,ACO-GRAANK,0.9,0.0771,112.1,1.0
45,UCI,ACO-LCM,0.9,21.14,1234.0,2.0
157,UCI,ACO-LCM,0.9,22.379,1234.0,2.0
245,UCI,ACO-LCM,0.9,21.293,1232.0,1.0
323,UCI,ACO-LCM,0.9,20.739,1232.0,1.0
371,UCI,ACO-LCM,0.9,23.23,1235.0,3.0
559,UCI,ACO-LCM,0.9,20.653,1232.0,1.0
576,UCI,ACO-LCM,0.9,22.264,1234.0,2.0
585,UCI,ACO-LCM,0.9,21.469,1232.0,1.0
615,UCI,ACO-LCM,0.9,22.978,1235.0,3.0
131,UCI,GRAANK,0.9,0.1745,60.0,2.0
200,UCI,GRAANK,0.9,0.1688,60.0,2.0
211,UCI,GRAANK,0.9,0.1887,60.0,2.0
274,UCI,GRAANK,0.9,0.1931,60.0,2.0
292,UCI,GRAANK,0.9,0.1711,60.0,2.0
344,UCI,GRAANK,0.9,0.1693,60.0,2.0
519,UCI,GRAANK,0.9,0.1709,60.0,2.0
567,UCI,GRAANK,0.9,0.1699,60.0,2.0
646,UCI,GRAANK,0.9,0.1697,60.0,2.0
165,UCI,LCM-GRAD,0.9,213.0,26590.0,8.0
196,UCI,LCM-GRAD,0.9,216.31,26590.0,8.0
296,UCI,LCM-GRAD,0.9,225.29,26590.0,8.0
299,UCI,LCM-GRAD,0.9,210.08,26590.0,8.0
432,UCI,LCM-GRAD,0.9,215.87,26590.0,8.0
509,UCI,LCM-GRAD,0.9,215.3,26590.0,8.0
522,UCI,LCM-GRAD,0.9,219.72,26590.0,8.0
574,UCI,LCM-GRAD,0.9,210.54,26590.0,8.0
668,UCI,LCM-GRAD,0.9,218.01,26590.0,8.0
